,Transitions,Unique,Entropy,Entropy_transitions,Local Entropy,Group
0,1.8422516408944265,34,0.43224573900588387,8.643814417268826,5.743390114177659,Control
1,1.9061787442300206,36,0.43224394065465,8.643811761562638,5.588057318207681,Control
2,1.7696137052590595,35,0.43224033809493395,8.643816454238111,5.752054380504093,Control
3,1.7534200867534202,36,0.4322321535628051,8.643822229433864,5.936571350568307,Control
4,1.834793491864831,35,0.43224691549404215,8.643810737165825,5.848078685881383,Control
5,1.7159779767532395,35,0.43224249962851485,8.643813621564316,5.831573915140218,Control
0,1.4441848823627566,33,0.43225693343055777,8.643801570224191,5.574357108504673,6OHDA
1,1.4839839839839841,30,0.4322427825718367,8.643816935485255,5.803903907693954,6OHDA
2,1.437350536677604,33,0.43224036399444465,8.643817578927255,5.757064897144742,6OHDA
3,1.507382587659539,29,0.4322645391197407,8.643793776074705,5.477777995448633,6OHDA
4,1.2580995022108512,32,0.43223978930921036,8.643817346144887,5.449486105772226,6OHDA
5,1.4000055621992937,32,0.4322402899293589,8.643814416746018,5.816026947539371,6OHDA
6,1.8244765162259113,31,0.4322294196796104,8.643826193524397,5.530334131236615,6OHDA
